"Date";"Heure";"TD";"Réf.Doc.";"Code";"Désignation";"Qté";"Ts %";"Prix";"Mont.Soumis";"Mont.TVA";"Mont.Total"
"2018-03-16";"14:36:18";"TV";"A2/1";"01020";"Pain dur";"1,000";"5,50";"2,92";"1,42";"0,08";"1,50"
"2018-03-16";"15:35:36";"TV";"A1/5";"02004";"Pain au Lait";"1,000";"5,50";"0,90";"0,90";"0,05";"0,95"
"2018-03-16";"15:35:36";"TV";"A1/5";"01024";"Croissant Beurre";"1,000";"5,50";"0,90";"0,90";"0,05";"0,95"
"2018-03-16";"15:35:36";"TV";"A1/5";"01044";"1,50";"1,000";"5,50";"1,42";"1,42";"0,08";"1,50"
"2018-03-16";"15:37:25";"TV";"A1/6";"01006";"Festive";"1,000";"5,50";"1,04";"1,04";"0,06";"1,10"
"2018-03-16";"15:39:27";"TV";"A1/7";"01042";"Sarmantine";"2,000";"5,50";"0,90";"1,80";"0,10";"1,90"
"2018-03-16";"15:39:27";"TV";"A1/7";"02002";"Pain aux Raisins / Choco Beurre";"2,000";"5,50";"1,04";"2,09";"0,11";"2,20"
"2018-03-16";"15:41:45";"TV";"A1/8";"11050";"Kouign Amann";"1,000";"5,50";"11,37";"11,37";"0,63";"12,00"
"2018-03-16";"15:41:45";"TV";"A1/8";"03055";"Kouign Amann IND";"2,000";"5,50";"1,75";"3,51";"0,19";"3,70"
"2018-03-16";"15:43:11";"TV";"A1/9";"09005";"Sucette Chocolat";"1,000";"20,00";"2,08";"2,08";"0,42";"2,50"
"2018-03-16";"15:43:11";"TV";"A1/9";"01006";"Festive";"1,000";"5,50";"1,04";"1,04";"0,06";"1,10"
"2018-03-16";"15:43:11";"TV";"A1/9";"01042";"Sarmantine";"1,000";"5,50";"0,90";"0,90";"0,05";"0,95"
"2018-03-16";"15:46:17";"TV";"A1/10";"01038";"Oreillettes";"1,000";"5,50";"2,75";"2,75";"0,15";"2,90"
"2018-03-16";"15:46:17";"TV";"A1/10";"02004";"Pain au Lait";"1,000";"5,50";"0,90";"0,90";"0,05";"0,95"
"2018-03-16";"15:48:18";"TV";"A1/11";"04038";"Bouteille 50cl";"1,000";"5,50";"1,85";"1,85";"0,10";"1,95"
"2018-03-16";"15:48:18";"TV";"A1/11";"04037";"Cannette";"2,000";"5,50";"1,32";"2,65";"0,15";"2,80"
"2018-03-16";"15:48:18";"TV";"A1/11";"04040";"Capri Sun";"1,000";"5,50";"0,95";"0,95";"0,05";"1,00"
"2018-03-16";"15:48:45";"TV";"A1/12";"04038";"Bouteille 50cl";"2,000";"5,50";"1,85";"3,70";"0,20";"3,90"
"2018-03-16";"15:49:29";"TV";"A1/13";"01024";"Croissant Beurre";"2,000";"5,50";"0,90";"1,80";"0,10";"1,90"
"2018-03-16";"15:49:29";"TV";"A1/13";"02016";"Cookies";"1,000";"5,50";"1,14";"1,14";"0,06";"1,20"
"2018-03-16";"15:51:24";"TV";"A1/14";"01018";"Pain ord>Torchon";"2,000";"5,50";"1,09";"2,18";"0,12";"2,30"
"2018-03-16";"15:57:22";"TV";"A1/15";"01048";"Pain De Mie Boule";"1,000";"5,50";"1,04";"1,04";"0,06";"1,10"
"2018-03-16";"15:57:22";"TV";"A1/15";"09008";"#Divers Chocolat";"1,000";"20,00";"0,83";"0,83";"0,17";"1,00"
"2018-03-16";"16:41:02";"TV";"A1/16";"09005";"Sucette Chocolat";"4,000";"20,00";"2,08";"8,33";"1,67";"10,00"
"2018-03-16";"16:41:02";"TV";"A1/16";"01038";"Oreillettes";"2,000";"5,50";"2,75";"5,50";"0,30";"5,80"
"2018-03-16";"16:41:02";"TV";"A1/16";"03055";"Kouign Amann IND";"6,000";"5,50";"1,75";"10,52";"0,58";"11,10"
"2018-03-16";"16:57:07";"TV";"A2/2";"01006";"Festive";"1,000";"5,50";"1,04";"1,04";"0,06";"1,10"
"2018-03-16";"16:57:07";"TV";"A2/2";"02002";"Pain aux Raisins / Choco Beurre";"1,000";"5,50";"1,04";"1,04";"0,06";"1,10"
"2018-03-16";"16:58:51";"TV";"A2/3";"01007";"Baguette Fantaisie";"1,000";"5,50";"1,00";"1,00";"0,05";"1,05"
"2018-03-16";"17:02:04";"TV";"A1/18";"13009";"#Divers Plaques";"1,000";"5,50";"28,44";"28,44";"1,56";"30,00"
"2018-03-16";"17:04:48";"TV";"A2/4";"01019";"Baguette FM";"8,000";"5,50";"0,85";"6,82";"0,38";"7,20"
"2018-03-16";"17:06:23";"TV";"A1/19";"01006";"Festive";"1,000";"5,50";"1,04";"1,04";"0,06";"1,10"
"2018-03-16";"17:06:46";"TV";"A1/20";"01006";"Festive";"1,000";"5,50";"1,04";"1,04";"0,06";"1,10"
"2018-03-16";"17:07:41";"TV";"A1/21";"01019";"Baguette FM";"1,000";"5,50";"0,85";"0,85";"0,05";"0,90"
"2018-03-16";"17:08:55";"TV";"A1/22";"01006";"Festive";"1,000";"5,50";"1,04";"1,04";"0,06";"1,10"
"2018-03-16";"17:09:53";"TV";"A1/23";"01043";"#Divers Boulangerie";"1,000";"20,00";"2,46";"2,46";"0,49";"2,95"
"2018-03-16";"17:10:24";"TV";"A1/24";"01043";"#Divers Boulangerie";"1,000";"20,00";"1,42";"1,42";"0,28";"1,70"
"2018-03-16";"17:17:02";"TV";"A1/25";"03028";"#Divers Pâtisserie";"1,000";"5,50";"30,81";"30,81";"1,69";"32,50"
"2018-03-16";"17:17:02";"TV";"A1/25";"01019";"Baguette FM";"3,000";"5,50";"0,85";"2,56";"0,14";"2,70"
"2018-03-16";"17:25:35";"TV";"A1/26";"01043";"#Divers Boulangerie";"1,000";"20,00";"5,75";"5,75";"1,15";"6,90"
"2018-03-16";"17:26:39";"TV";"A1/27";"01043";"#Divers Boulangerie";"1,000";"20,00";"1,83";"1,83";"0,37";"2,20"
"2018-03-16";"17:36:29";"TV";"A2/5";"01043";"#Divers Boulangerie";"1,000";"20,00";"0,00";"0,00";"0,00";"0,00"
"2018-03-16";"17:36:29";"TV";"A2/5";"01018";"Pain ord>Torchon";"1,000";"5,50";"1,09";"1,09";"0,06";"1,15"
"2018-03-16";"17:38:13";"TV";"A2/6";"01043";"#Divers Boulangerie";"1,000";"20,00";"0,00";"0,00";"0,00";"0,00"
"2018-03-16";"17:38:13";"TV";"A2/6";"01006";"Festive";"2,000";"5,50";"1,04";"2,09";"0,11";"2,20"
"2018-03-16";"17:39:39";"TV";"A1/28";"01006";"Festive";"4,000";"5,50";"1,04";"4,17";"0,23";"4,40"
"2018-03-16";"17:40:51";"TV";"A1/29";"01046";"LŽOriginal";"1,000";"5,50";"0,95";"0,95";"0,05";"1,00"
"2018-03-16";"17:42:42";"TV";"A1/30";"01019";"Baguette FM";"2,000";"5,50";"0,85";"1,71";"0,09";"1,80"
"2018-03-16";"17:46:07";"TV";"A1/31";"01048";"Pain De Mie Boule";"4,000";"5,50";"1,04";"4,17";"0,23";"4,40"
"2018-03-16";"17:46:07";"TV";"A1/31";"01021";"Pains spéciaux";"1,000";"5,50";"1,61";"1,61";"0,09";"1,70"
"2018-03-16";"17:46:33";"TV";"A2/7";"12001";"Sucette Tache Langue";"1,000";"20,00";"0,08";"0,08";"0,02";"0,10"
"2018-03-16";"17:47:50";"TV";"A2/8";"01043";"#Divers Boulangerie";"1,000";"20,00";"0,00";"0,00";"0,00";"0,00"
"2018-03-16";"17:47:50";"TV";"A2/8";"01001";"Baguette Ordinaire";"1,000";"5,50";"0,81";"0,81";"0,04";"0,85"
"2018-03-16";"17:49:47";"TV";"A2/9";"03040";"Eclair";"1,000";"5,50";"1,90";"1,90";"0,10";"2,00"
"2018-03-16";"17:49:47";"TV";"A2/9";"03037";"Reli Chantilly / Crêpe Grecque";"2,000";"5,50";"2,37";"4,74";"0,26";"5,00"
"2018-03-16";"17:49:47";"TV";"A2/9";"03053";"Beurre";"1,000";"5,50";"2,37";"2,37";"0,13";"2,50"
"2018-03-16";"17:49:47";"TV";"A2/9";"09005";"Sucette Chocolat";"2,000";"20,00";"2,08";"4,17";"0,83";"5,00"
"2018-03-16";"17:51:14";"TV";"A1/32";"01046";"LŽOriginal";"2,000";"5,50";"0,95";"1,90";"0,10";"2,00"
"2018-03-16";"17:51:14";"TV";"A1/32";"02001";"#Divers Viennois";"1,000";"5,50";"5,59";"5,59";"0,31";"5,90"
"2018-03-16";"17:51:14";"TV";"A1/32";"01006";"Festive";"1,000";"5,50";"1,04";"1,04";"0,06";"1,10"
"2018-03-16";"17:51:14";"TV";"A1/32";"01042";"Sarmantine";"1,000";"5,50";"0,90";"0,90";"0,05";"0,95"
"2018-03-16";"17:51:14";"TV";"A1/32";"05016";"Grande Pizza";"1,000";"10,00";"6,36";"6,36";"0,64";"7,00"
"2018-03-16";"17:52:03";"TV";"A1/33";"01009";"Petit Gascon";"1,000";"5,50";"0,90";"0,90";"0,05";"0,95"
"2018-03-16";"17:52:32";"TV";"A1/34";"01019";"Baguette FM";"1,000";"5,50";"0,85";"0,85";"0,05";"0,90"
"2018-03-16";"17:55:08";"TV";"A1/35";"01006";"Festive";"1,000";"5,50";"1,04";"1,04";"0,06";"1,10"
